ID,Posted at,Screen name,Text
811686695804502016,2016-12-21 21:36:03 +0000,WhiteHouse,"RT @SecBurwell: January 1, 2017 is an important day for 6.4M Americans who signed up @HealthCareGov. There’s no doubt… https://t.co/Oo9JMFjHxY"
811684531606614017,2016-12-21 21:27:27 +0000,WhiteHouse,RT @Charlie44: Since @POTUS launched #TechHire 4k ppl got jobs based on tech skills they've developed. Now let's get to #100kBy2020 https://t.co/LAdtucPKyG
811683713188855812,2016-12-21 21:24:12 +0000,WhiteHouse,"RT @googlepolitics: For the past 8 years, @POTUS has done a yearly interview live on @YouTube. Here's the behind-the-scenes story → https://t.co/9ChRB6mjSk"
811677259920801792,2016-12-21 20:58:33 +0000,WhiteHouse,"""Animals are struggling...Water levels are gradually immersing cities."" —Paul Nicklen on the need to #ActOnClimate:… https://t.co/LDSqWM2noh"
811676881951092736,2016-12-21 20:57:03 +0000,WhiteHouse,RT @Rohan44: Today is my last day on the @WhiteHouse team.  Being part of @POTUS admin has been a thrill.  Follow me @rohanspatel going forward.
811673139893719040,2016-12-21 20:42:11 +0000,WhiteHouse,"The words a @POTUS chooses can shape how we see ourselves, how we understand our past, and how we face the future.… https://t.co/04QJuLt9Ko"
811636502467842049,2016-12-21 18:16:36 +0000,WhiteHouse,"""These two sentences represent several different strands of President Obama’s worldview"" —@rhodes44:… https://t.co/qCYwyxTQJL"
811629798011400192,2016-12-21 17:49:57 +0000,WhiteHouse,"""This wasn’t my line, and it wasn’t Barack Obama’s line. It was Ted Kennedy’s."" —@jonfavs on his top @POTUS speech.… https://t.co/StatYhsQ8j"
811620551978520580,2016-12-21 17:13:13 +0000,WhiteHouse,.@POTUS's speechwriters pick their favorite Obama speeches from over the last 8 years. Check it out →… https://t.co/IbTEQM9SAr
811391761012707329,2016-12-21 02:04:05 +0000,WhiteHouse,RT @LaborSec: Congrats D.C. #LeadOnLeave https://t.co/R7DKCC9Mxt
811362325659795458,2016-12-21 00:07:07 +0000,WhiteHouse,"RT @whitehouseostp: Today the @WhiteHouse released a new report on #ArtificialIntelligence, Automation, & the Economy.  #FutureofAI #AI https://t.co/yy5oJKpsgU"
811353638757134337,2016-12-20 23:32:36 +0000,WhiteHouse,This planet belongs to all of us. It’s the only one we’ve got. https://t.co/y7cHx5GW2l https://t.co/wrVHOeloE8
811333567762563072,2016-12-20 22:12:51 +0000,WhiteHouse,RT @Interior: Breaking: @POTUS protects parts of Arctic & Atlantic from oil & gas leasing: https://t.co/EcdBgyBpBr https://t.co/0uUmdtTiuT
811329957557399552,2016-12-20 21:58:30 +0000,WhiteHouse,RT @POTUS: A ban on drilling in Arctic waters helps protect the planet we share. Proud to take this step with @JustinTrudeau &… https://t.co/cDbN6inXRy
